"players","inactive","vacation","ROUND(AVG(score))","AVG(score_building)","AVG(score_science)","AVG(score_military)","AVG(score_defense)","gala"
"201","0","0","1714","979.7015","327.0050","268.6667","139.0299",NULL
"144","527","66","103295","60795.1528","15290.5347","19536.0972","7673.4861","1"
"140","526","65","83968","46953.7286","12822.1786","16757.9429","7433.7857","2"
"109","489","58","61728","34905.8624","9561.7431","12610.7523","4649.9633","3"
"78","396","39","75750","41108.7436","12174.6410","15111.7821","7355.2821","4"
"58","327","33","68057","39218.9655","11043.3448","12227.9483","5566.3966","5"
"81","308","29","58856","31988.7531","9341.9259","12855.5432","4670.0988","6"
"84","312","14","48580","25358.2143","8398.5833","10972.0714","3851.5357","7"
"73","310","31","28755","14492.7260","5220.5616","6361.3151","2680.1644","8"
"80","306","14","26026","13464.7125","4497.6750","5771.6125","2291.9125","9"
